,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
English only,225882277.0,226897366.0,228376880.0,229781216.0,231294617.0,232900575.0,234352363.0,235703822.0,237113846.0,238129421.0,238129421.0
Spanish,37574942.0,38833955.0,39519093.0,40160868.0,40750580.0,41351012.0,41895668.0,42300587.0,42876359.0,43307602.0,43307602.0
French Creole,612910.0,656051.0,688785.0,713701.0,739768.0,765985.0,786770.0,806268.0,824898.0,834558.0,834558.0
Yiddish,159410.0,154342.0,154977.0,156136.0,155582.0,157943.0,159695.0,478524.0,484122.0,493222.0,493222.0
Italian,804455.0,765684.0,747740.0,733340.0,709354.0,689586.0,663629.0,635866.0,610988.0,591543.0,591543.0
Portuguese,693090.0,681009.0,682846.0,686676.0,693975.0,687312.0,687642.0,700052.0,720651.0,747723.0,747723.0
German,1130410.0,1109732.0,1102869.0,1097187.0,1064162.0,1029625.0,999350.0,964879.0,936435.0,914147.0,914147.0
Greek,331686.0,319353.0,311150.0,308929.0,304987.0,298631.0,296719.0,540858.0,534719.0,525456.0,525456.0
Russian,848181.0,830524.0,851430.0,865782.0,879505.0,889711.0,900904.0,251852.0,246483.0,246233.0,246233.0
Polish,619652.0,604434.0,598205.0,587857.0,580196.0,574006.0,560528.0,320602.0,323804.0,328420.0,328420.0
Serbo-Croatian,268389.0,262265.0,264723.0,266641.0,267979.0,264315.0,258818.0,237020.0,235253.0,234502.0,234502.0
Armenian,216987.0,222087.0,230450.0,235474.0,237840.0,242013.0,239137.0,395007.0,405998.0,408391.0,408391.0
Persian,357065.0,358171.0,374471.0,386127.0,391127.0,397801.0,407162.0,737869.0,775359.0,818764.0,818764.0
Gujarati,305158.0,335210.0,348796.0,364492.0,373253.0,376865.0,385948.0,448742.0,470505.0,475987.0,475987.0
Hindi,520401.0,583090.0,606294.0,631901.0,643448.0,671290.0,713186.0,280867.0,287151.0,294800.0,294800.0
Urdu,329511.0,363631.0,373005.0,381474.0,397514.0,414618.0,429352.0,295204.0,311422.0,322543.0,322543.0
Chinese,2465055.0,2657099.0,2723822.0,2812448.0,2898029.0,2991121.0,3105211.0,321695.0,350283.0,373816.0,373816.0
Japanese,458746.0,466454.0,455189.0,450343.0,449597.0,448549.0,450056.0,238699.0,258631.0,274744.0,274744.0
Korean,1031099.0,1104289.0,1122805.0,1125545.0,1117412.0,1126410.0,1124115.0,222658.0,235297.0,248238.0,248238.0
Mon-Khmer,186700.0,200832.0,206648.0,209373.0,212167.0,217808.0,216407.0,3167808.0,3279337.0,3348405.0,3348405.0
Hmong,183822.0,202143.0,204745.0,210055.0,214943.0,220190.0,222805.0,452869.0,459303.0,456297.0,456297.0
Thai,141161.0,152087.0,154558.0,154021.0,152649.0,155002.0,156997.0,1104641.0,1104246.0,1094261.0,1094261.0
Laotian,148579.0,155583.0,153469.0,153378.0,152647.0,151932.0,148865.0,227119.0,226052.0,229505.0,229505.0
Vietnamese,1197590.0,1292705.0,1330222.0,1369733.0,1400036.0,1427286.0,1451733.0,1454343.0,1473339.0,1488622.0,1488622.0
Tagalog,1437653.0,1535615.0,1566576.0,1600561.0,1613417.0,1646177.0,1675407.0,305655.0,306303.0,304342.0,304342.0
Navajo,170744.0,169471.0,168146.0,168266.0,166826.0,166123.0,163169.0,1682060.0,1698881.0,1716368.0,1716368.0
Hungarian,95529.0,91445.0,90976.0,87951.0,86406.0,85014.0,82819.0,1087291.0,1129366.0,1173221.0,1173221.0
Arabic,755979.0,765741.0,810541.0,867864.0,924722.0,981444.0,1035578.0,212730.0,214676.0,214950.0,214950.0
Hebrew,211896.0,209614.0,207037.0,210887.0,212837.0,211094.0,212385.0,469984.0,492294.0,518612.0,518612.0
